R_age,B_age,R_Height_cms,B_Height_cms,R_Reach_cms,B_Reach_cms,R_avg_SIG_STR_pct,B_avg_SIG_STR_pct,R_avg_TD_pct,B_avg_TD_pct,R_avg_SUB_ATT,B_avg_SUB_ATT,weight_class,Winner,age_diff,height_diff,reach_diff,strike_acc_diff,td_acc_diff,sub_att_diff
27.0,31.0,170.18,165.1,177.8,170.18,0.5,0.42,0.0,0.33,0.0,0.5,Bantamweight,Red,-4.0,5.0800000000000125,7.6200000000000045,0.08000000000000002,-0.33,-0.5
28.0,32.0,182.88,187.96,187.96,193.04,0.576875,0.66,0.40625,0.3,0.25,1.5,Middleweight,Red,-4.0,-5.0800000000000125,-5.079999999999984,-0.083125,0.10625000000000001,-1.25
41.0,27.0,182.88,177.8,190.5,182.88,0.56515625,0.515,0.33703125,0.435,0.0390625,1.25,Lightweight,Blue,14.0,5.079999999999984,7.6200000000000045,0.05015625000000001,-0.09796875,-1.2109375
31.0,35.0,182.88,180.34,180.34,193.04,0.493125,0.4592773437499999,0.0,0.3221875,0.0,0.189453125,Welterweight,Blue,-4.0,2.539999999999992,-12.699999999999989,0.03384765625000008,-0.3221875,-0.189453125
37.0,28.0,185.42,190.5,195.58,205.74,0.5156361389160156,0.7915820312499999,0.3558242797851562,0.26919921875,9.1552734375e-05,0.029296875,Middleweight,Red,9.0,-5.0800000000000125,-10.159999999999997,-0.27594589233398437,0.08662506103515616,-0.029205322265625
27.0,28.0,165.1,167.64,172.72,167.64,0.53,0.47375,0.28,0.28125,0.0,0.875,Flyweight,Blue,-1.0,-2.539999999999992,5.0800000000000125,0.05625000000000002,-0.0012499999999999734,-0.875
34.0,29.0,190.5,195.58,195.58,200.66,0.5615625,0.473125,0.3927734375,0.6012500000000001,0.77734375,0.5,LightHeavyweight,Blue,5.0,-5.0800000000000125,-5.079999999999984,0.08843749999999995,-0.20847656250000007,0.27734375
29.0,32.0,187.96,180.34,187.96,182.88,0.488525390625,0.4657324218749999,0.370703125,0.17646484375,0.10546875,0.140625,Welterweight,Draw,-3.0,7.6200000000000045,5.0800000000000125,0.022792968750000087,0.19423828125000003,-0.03515625
33.0,30.0,185.42,182.88,190.5,187.96,0.43322265625,0.4514453125,0.0123828125,0.32357421875,0.015625,0.25,Middleweight,Draw,3.0,2.539999999999992,2.539999999999992,-0.01822265624999997,-0.31119140624999997,-0.234375
26.0,35.0,172.72,172.72,177.8,175.26,0.4340624999999999,0.464375,0.28125,0.48375,0.0,0.5,Bantamweight,Blue,-9.0,0.0,2.5400000000000205,-0.030312500000000075,-0.2025,-0.5
29.0,34.0,170.18,167.64,180.34,167.64,0.44078125,0.5293749999999999,0.186796875,0.5,0.03125,1.3125,Featherweight,Red,-5.0,2.5400000000000205,12.700000000000017,-0.08859374999999992,-0.313203125,-1.28125
28.0,34.0,185.42,177.8,190.5,177.8,0.5,0.52,1.0,0.33,1.0,0.5,Welterweight,Red,-6.0,7.619999999999976,12.699999999999989,-0.020000000000000018,0.6699999999999999,0.5
36.0,33.0,167.64,170.18,170.18,177.8,0.4786643981933594,0.2,0.2665873718261718,1.0,0.456298828125,0.0,Bantamweight,Red,3.0,-2.5400000000000205,-7.6200000000000045,0.27866439819335936,-0.7334126281738282,0.456298828125
35.0,29.0,172.72,170.18,172.72,172.72,0.37609375,0.4859374999999999,0.1190624999999999,0.216875,0.015625,0.15625,Bantamweight,Red,6.0,2.539999999999992,0.0,-0.1098437499999999,-0.09781250000000011,-0.140625
23.0,25.0,172.72,172.72,170.18,182.88,0.41875,0.4649999999999999,0.09375,0.75,0.0625,0.5,Bantamweight,Blue,-2.0,0.0,-12.699999999999989,-0.0462499999999999,-0.65625,-0.4375
28.0,31.0,170.18,170.18,170.18,180.34,0.53953125,0.5821240234375,0.5896875,0.03421875,0.03125,1.1280517578125,Bantamweight,Blue,-3.0,0.0,-10.159999999999997,-0.04259277343750001,0.5554687500000001,-1.0968017578125
38.0,31.0,187.96,193.04,198.12,203.2,0.456121826171875,0.5284765625,0.0228076171875,0.0,0.0177001953125,0.1328125,LightHeavyweight,Red,7.0,-5.079999999999984,-5.079999999999984,-0.07235473632812495,0.0228076171875,-0.1151123046875
37.0,29.0,187.96,193.04,193.04,198.12,0.5053745841979981,0.621875,0.1836968994140625,0.0509375,0.015625,0.25,LightHeavyweight,Blue,8.0,-5.079999999999984,-5.0800000000000125,-0.11650041580200188,0.1327593994140625,-0.234375
36.0,28.0,162.56,167.64,165.1,170.18,0.5449652290344238,0.5625,0.0550611305236816,0.155,0.0002632141113281,0.0,Flyweight,Blue,8.0,-5.079999999999984,-5.0800000000000125,-0.017534770965576207,-0.0999388694763184,0.0002632141113281
29.0,32.0,177.8,172.72,177.8,177.8,0.51875,0.469420166015625,0.2865625,0.031591796875,0.1640625,0.0001220703125,Lightweight,Red,-3.0,5.0800000000000125,0.0,0.04932983398437507,0.254970703125,0.1639404296875
34.0,31.0,170.18,167.64,167.64,175.26,0.450472412109375,0.4181249999999999,0.23367431640625,0.185625,1.07958984375,0.0,Flyweight,Red,3.0,2.5400000000000205,-7.6200000000000045,0.032347412109375084,0.04804931640624999,1.07958984375
28.0,27.0,165.1,162.56,170.18,175.26,0.485,0.45875,0.1825,0.07125,0.5,0.0,Flyweight,Blue,1.0,2.539999999999992,-5.079999999999984,0.026249999999999996,0.11125,0.5
28.0,26.0,177.8,180.34,182.88,185.42,0.5475000000000001,0.462264404296875,0.775,0.43866943359375,1.25,0.111572265625,Welterweight,Red,2.0,-2.539999999999992,-2.539999999999992,0.08523559570312511,0.33633056640625003,1.138427734375
27.0,30.0,175.26,170.18,175.26,177.8,0.335,0.52,0.25,0.5,0.0,0.0,Bantamweight,Blue,-3.0,5.079999999999984,-2.5400000000000205,-0.185,-0.25,0.0
32.0,30.0,193.04,193.04,198.12,205.74,0.7050000000000001,0.61875,0.0,0.125,0.0,0.25,Heavyweight,Blue,2.0,0.0,-7.6200000000000045,0.08625000000000005,-0.125,-0.25
28.0,25.0,175.26,175.26,182.88,177.8,0.4490625,0.3,0.1625,0.37125,0.0,1.0625,Lightweight,Blue,3.0,0.0,5.079999999999984,0.1490625,-0.20875000000000002,-1.0625
34.0,31.0,167.64,162.56,165.1,172.72,0.463828125,0.438515625,0.0174072265625,0.337109375,0.04638671875,0.5,Bantamweight,Red,3.0,5.079999999999984,-7.6200000000000045,0.02531249999999996,-0.3197021484375,-0.45361328125
34.0,31.0,167.64,162.56,165.1,172.72,0.463828125,0.438515625,0.0174072265625,0.337109375,0.04638671875,0.5,Bantamweight,Red,3.0,5.079999999999984,-7.6200000000000045,0.02531249999999996,-0.3197021484375,-0.45361328125
32.0,33.0,177.8,180.34,185.42,185.42,0.5508484649658203,0.83,0.2531222915649414,0.0,0.5078558921813965,1.0,Featherweight,Red,-1.0,-2.539999999999992,0.0,-0.27915153503417967,0.2531222915649414,-0.4921441078186035
28.0,28.0,190.5,190.5,195.58,190.5,0.6305078125,0.5615625,0.450625,0.061875,0.57666015625,0.0,LightHeavyweight,Blue,0.0,0.0,5.0800000000000125,0.06894531250000002,0.38875,0.57666015625
32.0,36.0,190.5,190.5,193.04,198.12,0.4049999999999999,0.5,0.0,0.5,0.0,0.0,LightHeavyweight,Red,-4.0,0.0,-5.0800000000000125,-0.09500000000000008,-0.5,0.0
43.0,31.0,187.96,190.5,203.2,193.04,0.3824462890625,0.615,0.62992919921875,0.0,1.404541015625,0.0,Heavyweight,Blue,12.0,-2.539999999999992,10.159999999999997,-0.2325537109375,0.62992919921875,1.404541015625
34.0,30.0,175.26,170.18,175.26,175.26,0.45828125,0.725,0.02671875,0.5,0.1640625,1.5,Featherweight,Blue,4.0,5.079999999999984,0.0,-0.26671875,-0.47328125,-1.3359375
